block_bytes,gpu_lat_us,sync_rps,async_rps,speedup
4096,46.4,3750.47,4667.42,1.24
8192,47.0,3688.36,4650.25,1.26
16384,51.4,3656.99,4572.98,1.25
32768,60.3,3501.08,4370.93,1.25
65536,70.2,3325.62,4354.90,1.31
131072,92.7,2969.61,4217.82,1.42
262144,126.5,2706.40,4127.80,1.53
524288,191.8,2454.09,4493.69,1.83
1048576,361.6,1537.96,3643.94,2.37
2097152,653.6,965.71,2857.69,2.96
4194304,1188.1,505.57,1937.06,3.83
8388608,2258.6,227.19,1228.42,5.41
